,accel [g],aerodrag,gap [m],lift per assy [N],position [m],time [s],velocity [m/s]
113,-1.52458030485,637.320900211,0.0025,9945.25217418,160.012776283,1.13,133.182551003
114,-1.52473381979,635.890162833,0.0025,9943.25153682,161.343853924,1.14,133.032974615
115,-1.52488786239,634.460888907,0.0025,9941.25069734,162.673435725,1.15,132.883383115
116,-1.52504243286,633.033078425,0.0025,9939.24965504,164.001521536,1.16,132.733776453
117,-1.52519753142,631.606731384,0.0025,9937.24840923,165.328111203,1.17,132.584154575
118,-1.52535315827,630.181847781,0.0025,9935.24695923,166.653204576,1.18,132.43451743
119,-1.52550931362,628.758427615,0.0025,9933.24530433,167.976801501,1.19,132.284864967
120,-1.52566599768,627.336470888,0.0025,9931.24344384,169.298901824,1.2,132.135197132
121,-1.52582321067,625.915977604,0.0025,9929.24137706,170.619505392,1.21,131.985513875
122,-1.5259809528,624.49694777,0.0025,9927.23910331,171.93861205,1.22,131.835815144
123,-1.52613922429,623.079381392,0.0025,9925.23662189,173.256221643,1.23,131.686100886
124,-1.52629802534,621.663278481,0.0025,9923.2339321,174.572334016,1.24,131.53637105
125,-1.52645735617,620.248639049,0.0025,9921.23103325,175.886949012,1.25,131.386625583
126,-1.526617217,618.83546311,0.0025,9919.22792465,177.200066475,1.26,131.236864434
127,-1.52677760805,617.423750681,0.0025,9917.22460559,178.511686248,1.27,131.087087551
128,-1.52693852953,616.013501781,0.0025,9915.22107538,179.821808174,1.28,130.937294881
129,-1.52709998166,614.604716429,0.0025,9913.21733333,181.130432093,1.29,130.787486373
130,-1.52726196467,613.197394648,0.0025,9911.21337873,182.437557848,1.3,130.637661974
131,-1.52742447876,611.791536464,0.0025,9909.2092109,183.74318528,1.31,130.487821632
132,-1.52758752416,610.387141902,0.0025,9907.20482913,185.047314228,1.32,130.337965296
133,-1.5277511011,608.984210992,0.0025,9905.20023273,186.349944532,1.33,130.188092913
134,-1.52791520979,607.582743765,0.0025,9903.195421,187.651076032,1.34,130.038204431
135,-1.52807985046,606.182740253,0.0025,9901.19039324,188.950708567,1.35,129.888299798
136,-1.52824502333,604.784200493,0.0025,9899.18514875,190.248841974,1.36,129.738378961
137,-1.52841072862,603.387124521,0.0025,9897.17968684,191.545476092,1.37,129.588441869
138,-1.52857696656,601.991512377,0.0025,9895.1740068,192.840610757,1.38,129.438488468
139,-1.52874373738,600.597364102,0.0025,9893.16810794,194.134245807,1.39,129.288518708
140,-1.52891104131,599.20467974,0.0025,9891.16198955,195.426381077,1.4,129.138532534
141,-1.52907887856,597.813459337,0.0025,9889.15565094,196.717016402,1.41,128.988529896
142,-1.52924724937,596.42370294,0.0025,9887.14909141,198.006151619,1.42,128.838510741
143,-1.52941615397,595.0354106,0.0025,9885.14231026,199.293786562,1.43,128.688475017
144,-1.52958559258,593.648582368,0.0025,9883.13530678,200.579921064,1.44,128.53842267
145,-1.52975556545,592.263218299,0.0025,9881.12808028,201.86455496,1.45,128.388353649
146,-1.52992607279,590.879318448,0.0025,9879.12063005,203.147688082,1.46,128.238267901
147,-1.53009711484,589.496882875,0.0025,9877.11295539,204.429320262,1.47,128.088165374
148,-1.53026869184,588.11591164,0.0025,9875.1050556,205.709451333,1.48,127.938046016
